"",CONSTITUENCY,WINNER,SEX,PARTY,SYMBO
1,Nerela,Sharad Kumar,M,AAAP,Broom
2,Burari,Sanjeev Jha,M,AAAP,Broom
3,Timarpur,Pankaj Pushkar,M,AAAP,Broom
4,Adarsh Nagar,Pawan Kumar Sharma,M,AAAP,Broom
5,Badli,Ajesh Yadav,M,AAAP,Broom
6,Rithala,Mohinder Goyal,M,AAAP,Broom
7,Bawana  (SC),Ved Parkash,M,AAAP,Broom
8,Mundka,Sukhvir Singh,M,AAAP,Broom
9,Kirari,Rituraj Govind,M,AAAP,Broom
10,Sultanpur Majra  (SC),Sandeep Kumar,M,AAAP,Broom
11,Nangloi Jat,Raghuvinder Shokeen,M,AAAP,Broom
12,Mangol Puri  (SC),Rakhi Birla,F,AAAP,Broom
13,Rohini,Vijender Gupta,M,BJP,Lotus
14,Shalimar Bagh,Bandana Kumari,F,AAAP,Broom
15,Shakur Basti,Satyendar Jain,M,AAAP,Broom
16,Tri Nagar,Jitender Singh Tomar,M,AAAP,Broom
17,Wazirpur,Rajesh Gupta,M,AAAP,Broom
18,Model Town,Akhilesh Pati Tripathi,M,AAAP,Broom
19,Sadar Bazar,Som Dutt,M,AAAP,Broom
20,Chandni Chowk,Alka  Lamba,F,AAAP,Broom
21,Matia Mahal,Asim Ahmed Khan,M,AAAP,Broom
22,Ballimaran,Imran Hussain,M,AAAP,Broom
23,Karol Bagh  (SC),Vishesh Ravi,M,AAAP,Broom
24,Patel Nagar  (SC),Hazari Lal Chauhan,M,AAAP,Broom
25,Moti Nagar,Shiv Charan Goel,M,AAAP,Broom
26,Madipur  (SC),Girish Soni,M,AAAP,Broom
27,Rajouri Garden,Jarnail Singh,M,AAAP,Broom
28,Hari Nagar,Jagdeep Singh,M,AAAP,Broom
29,Tilak Nagar,Jarnail Singh,M,AAAP,Broom
30,Janakpuri,Rajesh Rishi,M,AAAP,Broom
31,Vikaspuri,Mahinder Yadav,M,AAAP,Broom
32,Uttam Nagar,Naresh Balyan,M,AAAP,Broom
33,Dwarka,Adarsh Shastri,M,AAAP,Broom
34,Matiala,Gulab Singh,M,AAAP,Broom
35,Najafgarh,Kailash Gahlot,M,AAAP,Broom
36,Bijwasan,Col Devinder Sehrawat,M,AAAP,Broom
37,Palam,Bhavna Gaur,F,AAAP,Broom
38,Delhi Cantt,Surender Singh,M,AAAP,Broom
39,Rajinder Nagar,Vijender Garg Vijay,M,AAAP,Broom
40,New Delhi,Arvind Kejriwal,M,AAAP,Broom
41,Jangpura,Praveen Kumar,M,AAAP,Broom
42,Kasturba Nagar,Madan Lal,M,AAAP,Broom
43,Malviya Nagar,Somnath Bharti,M,AAAP,Broom
44,R K Puram,Parmila Tokas,F,AAAP,Broom
45,Mehrauli,Naresh Yadav,M,AAAP,Broom
46,Chhatarpur,Kartar Singh Tanwar,M,AAAP,Broom
47,Deoli  (SC),Prakash,M,AAAP,Broom
48,Ambedkar Nagar  (SC),Ajay Dutt,M,AAAP,Broom
49,Sangam Vihar,Dinesh Mohaniya,M,AAAP,Broom
50,Greater Kailash,Saurabh Bharadwaj,M,AAAP,Broom
51,Kalkaji,Avtar Singh Kalkaji,M,AAAP,Broom
52,Tughlakabad,Sahi Ram,M,AAAP,Broom
53,Badarpur,Narayan Dutt Sharma,M,AAAP,Broom
54,Okhla,Amanatullah Khan,M,AAAP,Broom
55,Trilokpuri  (SC),Raju Dhingan,M,AAAP,Broom
56,Kondli  (SC),Manoj Kumar,M,AAAP,Broom
57,Patparganj,Manish Sisodia,M,AAAP,Broom
58,Laxmi Nagar,Nitin Tyagi,M,AAAP,Broom
59,Vishwas Nagar,Om Prakash Sharma,M,BJP,Lotus
60,Krishna Nagar,"S K Bagga, Advocate",M,AAAP,Broom
61,Gandhi Nagar,Anil Kumar Bajpai,M,AAAP,Broom
62,Shahdara,Ram Niwas Goel,M,AAAP,Broom
63,Seema Puri  (SC),Rajendra Pal Gautam,M,AAAP,Broom
64,Rohtas Nagar,Sarita Singh,F,AAAP,Broom
65,Seelampur,Mohd. Ishraque,M,AAAP,Broom
66,Ghonda,Shri Dutt Sharma,M,AAAP,Broom
67,Babarpur,Gopal Rai,M,AAAP,Broom
68,Gokalpur  (SC),Fateh Singh,M,AAAP,Broom
69,Mustafabad,Jagdish Pradhan,M,BJP,Lotus
70,Karawal Nagar,Kapil Mishra,M,AAAP,Broom
